timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,Latency,Hostname,"UUID"
2013/11/27 13:30:57.772,3168,Get html,200,OK,Thread Group 1-30,true,168538,134,CACSVM-12354.local,30
2013/11/27 13:31:00.896,56,Get spinner.gif,200,OK,Thread Group 1-13,true,6863,45,CACSVM-12354.local,13
2013/11/27 13:30:59.451,1560,Get html,200,OK,Thread Group 1-46,true,168538,149,CACSVM-12354.local,46
2013/11/27 13:31:00.953,76,Get logo_seeit_splash_ipad.png,200,OK,Thread Group 1-13,true,2898,76,CACSVM-12354.local,13
2013/11/27 13:30:59.336,1789,Get Roboto-Light.woff,200,OK,Thread Group 1-5,true,71137,80,CACSVM-12354.local,5
2013/11/27 13:30:57.926,3203,Get Antonio-Light.ttf,200,OK,Thread Group 1-17,true,46906,347,CACSVM-12354.local,17
2013/11/27 13:30:58.413,2722,Get html,200,OK,Thread Group 1-36,true,168529,189,CACSVM-12354.local,36
2013/11/27 13:30:59.848,1297,Get Roboto-Medium.woff,200,OK,Thread Group 1-2,true,70569,97,CACSVM-12354.local,2
2013/11/27 13:31:00.431,759,Get Antonio-Light.ttf,200,OK,Thread Group 1-7,true,46906,54,CACSVM-12354.local,7
2013/11/27 13:31:00.775,468,Get xfinity_sans_icons_v1.0.woff,200,OK,Thread Group 1-27,true,64261,81,CACSVM-12354.local,27
2013/11/27 13:30:57.992,3252,Get html,200,OK,Thread Group 1-32,true,168556,539,CACSVM-12354.local,32
2013/11/27 13:31:00.893,379,Get Antonio-Regular.tff,200,OK,Thread Group 1-40,true,48286,48,CACSVM-12354.local,40
2013/11/27 13:31:00.665,612,Call ajax,200,OK,Thread Group 1-47,true,168374,85,CACSVM-12354.local,47
2013/11/27 13:30:57.560,3733,Get html,200,OK,Thread Group 1-28,true,168535,1080,CACSVM-12354.local,28
2013/11/27 13:31:00.629,672,Get Antonio-Light.woff,200,OK,Thread Group 1-16,true,43894,65,CACSVM-12354.local,16
2013/11/27 13:31:01.030,301,Get main.css,200,OK,Thread Group 1-13,true,47605,88,CACSVM-12354.local,13
2013/11/27 13:30:59.529,1823,Call ajax,200,OK,Thread Group 1-24,true,168374,423,CACSVM-12354.local,24
2013/11/27 13:30:58.311,3084,Get html,200,OK,Thread Group 1-35,true,168529,1134,CACSVM-12354.local,35
2013/11/27 13:31:00.388,1040,Call ajax,200,OK,Thread Group 1-42,true,168374,95,CACSVM-12354.local,42
2013/11/27 13:30:57.240,4214,Get html,200,OK,Thread Group 1-25,true,168536,418,CACSVM-12354.local,25
2013/11/27 13:31:01.273,306,Get Antonio-Light.ttf,200,OK,Thread Group 1-40,true,46906,81,CACSVM-12354.local,40
2013/11/27 13:31:00.816,777,Get html,200,OK,Thread Group 1-59,true,168556,122,CACSVM-12354.local,60
2013/11/27 13:30:58.870,2761,Get Roboto-Medium.woff,200,OK,Thread Group 1-14,true,70569,346,CACSVM-12354.local,14
2013/11/27 13:31:01.191,461,Get xfinity_sans_icons_v1.0.woff,200,OK,Thread Group 1-7,true,64261,73,CACSVM-12354.local,7
2013/11/27 13:31:01.281,408,Get Antonio-Regular.tff,200,OK,Thread Group 1-47,true,48286,75,CACSVM-12354.local,47
2013/11/27 13:30:58.302,3418,Get Antonio-Regular.tff,200,OK,Thread Group 1-10,true,48286,1735,CACSVM-12354.local,10
2013/11/27 13:30:59.972,1851,Get html,200,OK,Thread Group 1-51,true,168540,134,CACSVM-12354.local,51
2013/11/27 13:31:01.355,475,Get Antonio-Regular.tff,200,OK,Thread Group 1-24,true,48286,79,CACSVM-12354.local,24
